grid_size,complexity,run,algorithm,iterations,final_avg_utility,env_label
4,0.4,3,policy_iteration,4,84.02408554491333,env_grid4_complex0.4_run3
4,0.4,4,value_iteration,1146,93.83996658415833,env_grid4_complex0.4_run4
4,0.4,4,policy_iteration,6,93.84089997254323,env_grid4_complex0.4_run4
4,0.4,5,value_iteration,1053,38.53064926600275,env_grid4_complex0.4_run5
4,0.4,5,policy_iteration,7,38.53064335136505,env_grid4_complex0.4_run5
4,0.4,6,value_iteration,1146,81.29418260404067,env_grid4_complex0.4_run6
4,0.4,6,policy_iteration,4,81.29409488166,env_grid4_complex0.4_run6
4,0.4,7,value_iteration,1121,70.30046216247338,env_grid4_complex0.4_run7
4,0.4,7,policy_iteration,4,70.30045364266043,env_grid4_complex0.4_run7
4,0.4,8,value_iteration,1120,75.11304098213918,env_grid4_complex0.4_run8
4,0.4,8,policy_iteration,6,75.11303906989772,env_grid4_complex0.4_run8
4,0.4,9,value_iteration,1132,83.62936655827913,env_grid4_complex0.4_run9
4,0.4,9,policy_iteration,4,83.62949809330007,env_grid4_complex0.4_run9
4,0.5,0,value_iteration,1146,95.48658034959284,env_grid4_complex0.5_run0
4,0.5,0,policy_iteration,5,95.48731295608432,env_grid4_complex0.5_run0
4,0.5,1,value_iteration,1146,88.62878212278328,env_grid4_complex0.5_run1
4,0.5,1,policy_iteration,6,88.62968188595043,env_grid4_complex0.5_run1
4,0.5,2,value_iteration,1146,96.16437312046729,env_grid4_complex0.5_run2
4,0.5,2,policy_iteration,3,96.16436774003054,env_grid4_complex0.5_run2
4,0.5,3,value_iteration,1134,86.01223979572289,env_grid4_complex0.5_run3
4,0.5,3,policy_iteration,6,86.01224123611655,env_grid4_complex0.5_run3
4,0.5,4,value_iteration,1146,94.08679074185713,env_grid4_complex0.5_run4
4,0.5,4,policy_iteration,5,94.08774154530465,env_grid4_complex0.5_run4
4,0.5,5,value_iteration,1143,94.04205321190145,env_grid4_complex0.5_run5
4,0.5,5,policy_iteration,4,94.04206819663278,env_grid4_complex0.5_run5
4,0.5,6,value_iteration,1146,95.53796710051832,env_grid4_complex0.5_run6
4,0.5,6,policy_iteration,4,95.53802899668156,env_grid4_complex0.5_run6
4,0.5,7,value_iteration,1146,80.032230652423,env_grid4_complex0.5_run7
4,0.5,7,policy_iteration,3,80.03213148001745,env_grid4_complex0.5_run7
4,0.5,8,value_iteration,1146,93.98152772117541,env_grid4_complex0.5_run8
4,0.5,8,policy_iteration,3,93.98182848742957,env_grid4_complex0.5_run8
4,0.5,9,value_iteration,1146,96.76889700048835,env_grid4_complex0.5_run9
4,0.5,9,policy_iteration,5,96.76986755515934,env_grid4_complex0.5_run9
4,0.6,0,value_iteration,1146,94.66573335383853,env_grid4_complex0.6_run0
4,0.6,0,policy_iteration,5,94.66646953725896,env_grid4_complex0.6_run0
4,0.6,1,value_iteration,1146,81.04925865669678,env_grid4_complex0.6_run1
4,0.6,1,policy_iteration,5,81.0500837847013,env_grid4_complex0.6_run1
4,0.6,2,value_iteration,1146,95.5219237413016,env_grid4_complex0.6_run2
4,0.6,2,policy_iteration,3,95.52192582292611,env_grid4_complex0.6_run2
4,0.6,3,value_iteration,1132,84.19682484611471,env_grid4_complex0.6_run3
4,0.6,3,policy_iteration,3,84.19682913384692,env_grid4_complex0.6_run3
4,0.6,4,value_iteration,1146,92.99152200042315,env_grid4_complex0.6_run4
4,0.6,4,policy_iteration,5,92.9925036990737,env_grid4_complex0.6_run4
4,0.6,5,value_iteration,1143,93.68237418720236,env_grid4_complex0.6_run5
4,0.6,5,policy_iteration,4,93.68238288379419,env_grid4_complex0.6_run5
4,0.6,6,value_iteration,1146,95.26900192639745,env_grid4_complex0.6_run6
4,0.6,6,policy_iteration,5,95.2691224312467,env_grid4_complex0.6_run6
4,0.6,7,value_iteration,1146,78.77448470072945,env_grid4_complex0.6_run7
4,0.6,7,policy_iteration,3,78.77437406096215,env_grid4_complex0.6_run7
