W,W,U,R,D,D,L,L,D,W,D,D,L,W,D,D,L,W
L,L,L,W,D,D,W,R,R,D,L,L,L,R,R,D,D,L
W,U,W,D,W,W,D,U,R,R,W,U,W,R,U,W,D,W
R,U,W,D,D,W,D,L,W,L,W,W,R,R,U,W,D,U
U,W,W,W,R,R,D,W,L,L,L,L,W,U,W,U,U,W
U,W,D,R,U,W,D,L,W,D,W,W,W,U,W,U,L,L
W,D,D,W,W,U,D,W,R,R,W,U,W,U,W,U,W,U
W,D,D,W,R,U,W,U,W,U,W,W,U,W,D,W,U,W
R,R,R,R,W,U,L,W,R,U,R,R,U,L,L,W,U,L
W,R,R,R,R,U,L,L,R,U,R,U,U,D,W,D,W,W
W,W,U,W,U,U,U,L,W,W,R,U,L,L,L,L,L,D
W,W,D,W,U,U,U,D,D,L,W,W,U,W,U,L,W,D
W,L,L,R,W,D,R,R,D,W,D,W,U,W,U,W,D,D
D,W,W,W,L,L,W,W,D,W,D,L,D,U,L,W,D,L
D,L,R,R,U,W,R,D,D,D,D,D,L,L,L,W,W,U
D,D,W,L,U,R,R,R,D,D,L,L,L,L,L,L,W,W
D,D,L,D,D,R,U,W,U,U,U,W,U,W,U,W,W,U
W,L,L,R,D,L,U,R,U,U,U,L,U,W,R,R,R,R
