R,R,U,L,L,W,R,U,R,R,R,R,R,D,L,L
U,R,U,L,L,L,W,W,D,R,R,R,R,R,W,D
U,R,U,U,L,W,D,W,D,D,D,W,R,U,L,L
D,R,U,D,D,W,R,R,R,R,D,R,R,U,L,L
D,W,D,D,L,R,R,U,R,R,R,R,R,R,W,W
D,W,R,D,L,W,R,R,R,R,R,R,U,U,L,L
R,L,L,W,D,D,W,L,R,U,U,U,U,U,L,L
U,D,D,D,D,D,D,U,U,U,U,U,U,U,W,U
D,D,D,D,L,D,D,D,W,R,R,U,U,U,L,U
R,D,D,D,D,D,D,D,L,L,U,U,U,U,U,U
D,D,D,D,D,D,D,L,L,L,W,L,L,W,U,U
R,L,D,D,D,D,D,L,L,L,L,U,L,L,U,U
D,R,D,D,D,L,D,L,L,L,L,L,W,U,U,U
D,W,D,D,L,L,W,U,L,W,W,U,L,D,D,U
R,R,D,D,L,L,L,L,L,L,L,L,L,D,D,W
U,W,D,L,L,L,L,L,L,L,L,L,L,D,L,L
