R,R,R,R,R,R,R,U,L,L,L,D
R,R,R,R,R,R,U,U,U,U,U,D
R,R,U,U,R,R,U,U,U,U,U,U
U,U,U,W,U,W,W,U,U,U,U,U
U,U,U,W,U,R,R,U,U,U,R,U
W,U,U,L,W,U,W,W,U,U,U,U
R,U,U,U,R,U,W,R,U,U,U,U
U,U,U,R,U,U,R,U,W,U,U,U
U,U,U,U,U,U,U,R,R,U,U,W
L,L,U,U,U,U,U,W,U,U,U,L
U,U,U,R,U,U,R,R,R,R,U,L
U,W,U,U,U,U,U,U,U,W,U,U
