D,W,W,R,R,D,D,W
R,R,D,W,R,R,R,R
W,W,D,W,R,U,R,U
R,R,R,R,U,U,R,U
W,R,U,U,W,U,U,U
U,W,R,R,U,U,U,U
U,U,W,U,U,W,U,U
U,U,L,W,U,L,R,U
