D,D,D,W,R,D,W,U,U,L,L,L
D,R,D,L,W,D,L,W,U,W,U,D
D,L,D,D,W,U,W,R,U,W,R,D
D,R,D,D,L,U,R,R,U,R,R,R
D,W,D,L,L,W,W,W,U,R,R,R
D,L,L,W,W,D,D,W,U,R,R,W
D,D,L,L,L,D,D,R,R,R,U,W
D,D,W,U,W,R,D,L,U,U,U,L
D,W,D,W,R,D,R,W,U,W,W,D
W,W,R,D,W,D,L,L,R,R,D,L
D,W,R,R,R,D,W,W,R,R,D,W
R,R,U,W,R,R,L,L,L,W,D,W
