R,R,R,U,R,R,R,R,R,R,R,R,R,R,R,U,L,L
U,U,U,U,W,R,U,R,R,R,R,R,R,R,U,U,U,L
D,R,R,U,D,W,U,U,R,R,R,R,R,U,W,U,W,W
R,L,U,R,R,R,U,U,U,W,R,R,U,U,W,R,D,D
U,U,R,R,U,R,R,D,W,R,R,R,R,R,R,R,R,D
L,L,W,W,W,W,R,R,R,R,U,W,R,R,R,R,R,D
R,R,R,R,D,D,R,R,R,R,D,D,R,R,R,R,R,D
R,R,R,R,R,D,D,D,W,D,D,D,D,W,R,R,R,R
U,W,R,R,R,D,W,D,R,R,R,R,R,D,D,D,W,W
W,D,D,D,W,D,R,R,D,D,U,W,R,R,R,R,R,W
R,D,R,R,R,R,D,R,R,D,L,R,R,R,U,U,W,D
W,R,R,R,R,R,R,D,W,L,L,W,R,R,U,U,L,L
R,R,R,D,D,W,R,D,W,U,L,D,R,R,U,L,U,U
U,W,R,R,R,R,R,R,D,U,W,D,D,W,U,L,W,W
R,R,R,U,W,W,D,R,D,W,D,D,D,W,D,D,L,U
R,R,R,U,W,R,D,R,R,D,D,D,L,L,L,L,L,L
R,R,D,W,R,R,R,R,R,D,D,L,U,U,L,L,L,D
W,R,R,R,U,W,R,R,R,R,D,W,U,U,L,L,L,D
