R,R,R,R,R,R,U,W,D,L
U,W,R,R,U,U,U,L,L,W
L,L,W,W,U,U,W,U,L,U
W,W,L,L,W,U,U,L,L,L
D,W,U,W,W,U,U,U,L,L
R,R,R,U,W,D,W,W,U,D
R,U,W,U,W,D,L,L,L,W
R,U,L,U,L,L,L,L,U,L
R,U,W,U,W,U,U,W,U,W
U,U,L,L,L,U,W,R,U,L
