D,R,R,R,U,W,D,L,D,D,W,R,D,R,U,L,L,D
D,D,D,U,U,L,L,L,D,D,D,W,D,L,W,D,R,D
D,D,L,L,U,L,L,W,D,D,D,L,L,L,W,L,L,D
D,L,L,L,L,L,L,R,D,D,L,L,L,D,D,R,R,D
D,W,D,U,L,U,W,R,D,L,L,L,L,L,D,D,R,D
L,L,L,L,L,W,R,U,W,U,L,L,D,D,D,D,W,D
W,U,L,L,D,L,L,D,R,U,U,D,D,D,R,R,R,D
D,U,U,D,D,L,L,W,D,U,R,D,D,L,R,D,R,D
D,L,L,R,D,L,L,L,L,R,R,D,L,R,R,R,R,R
W,U,R,R,R,W,U,U,L,R,R,U,D,W,D,R,U,W
R,U,R,R,U,L,L,L,L,R,R,R,R,U,L,L,U,L
U,U,W,U,U,L,L,L,R,R,R,R,R,U,U,L,U,L
U,W,R,U,U,U,L,L,R,R,R,D,D,U,U,D,L,L
U,R,U,W,U,U,L,D,W,D,D,D,D,D,D,D,D,W
U,U,U,L,W,U,R,R,R,R,D,R,D,L,R,D,L,W
W,U,U,U,R,R,R,R,D,D,W,D,D,W,W,D,W,D
R,U,U,R,R,U,U,W,D,D,W,D,D,D,R,D,D,D
R,U,U,R,U,R,R,R,R,R,R,R,R,D,L,W,L,L
