D,W,U,L,L,W,L,L,L,D,R,D,D,W,L,L
D,W,U,W,U,W,W,D,D,D,W,D,D,U,W,U
U,L,U,R,W,U,W,D,D,D,R,W,L,L,W,W
W,L,L,U,W,W,R,R,D,D,W,D,W,D,W,W
W,W,R,U,L,R,U,W,U,R,L,L,W,L,L,W
W,U,W,U,U,U,U,R,U,W,U,W,W,U,D,D
W,U,W,U,U,W,U,L,W,R,U,R,R,R,R,D
R,U,D,L,U,W,U,R,D,L,W,W,W,W,U,R
W,R,D,L,W,W,D,L,R,W,W,R,R,R,U,W
R,R,R,W,R,R,D,W,W,D,D,L,W,R,U,W
R,R,W,R,R,R,R,R,L,L,L,L,L,R,W,U
W,W,R,R,W,R,R,R,W,W,U,L,D,W,U,W
R,D,W,W,U,W,D,W,D,W,D,W,D,D,W,U
W,R,R,W,U,L,L,L,D,W,D,W,W,D,W,W
U,W,U,W,U,L,W,W,W,U,W,U,W,D,W,D
W,U,W,L,U,R,R,L,L,W,R,U,R,R,R,D
