0.0000,0.0000,92.8449,91.7270,92.2971,92.1488,94.5749,94.6076,94.6678,92.4523
0.0000,94.0769,92.1223,93.9368,93.6154,0.0000,97.3309,97.0613,94.6111,94.1677
97.0679,96.7718,94.0769,94.1273,91.7178,89.1505,0.0000,0.0000,0.0000,91.7467
95.0436,0.0000,0.0000,0.0000,89.9094,87.7182,0.0000,0.0000,97.2027,0.0000
97.5062,0.0000,-100.0000,0.0000,92.5811,0.0000,94.8076,96.9887,99.6926,100.0000
100.0000,100.0000,0.0000,0.0000,95.0127,94.5904,96.9946,95.2549,0.0000,100.0000
100.0000,98.0000,95.5312,0.0000,97.5278,95.0127,97.4746,97.5028,0.0000,0.0000
0.0000,100.0000,0.0000,0.0000,97.8109,0.0000,0.0000,100.0000,100.0000,97.7802
100.0000,0.0000,0.0000,0.0000,97.7833,100.0000,100.0000,0.0000,0.0000,100.0000
100.0000,97.5062,100.0000,0.0000,100.0000,100.0000,97.7802,97.5062,100.0000,100.0000
