D,W,W,R,R,D,D,W
R,R,D,W,D,R,D,R
W,W,D,W,D,R,R,U
R,R,D,D,W,U,U,U
W,W,R,D,W,U,U,U
U,W,R,R,U,U,U,W
U,U,W,U,U,W,U,L
U,U,L,W,U,W,U,U
