U,L,L,L,L,L,U,L,L,R,U,L,L,L,L,L
U,L,L,L,W,U,U,U,L,R,U,L,L,L,L,L
U,U,L,L,L,L,U,U,W,U,W,U,U,U,W,U
U,U,L,L,L,L,U,U,L,U,L,U,U,U,D,D
U,U,L,L,L,L,L,D,L,U,L,U,W,W,D,D
U,U,L,L,W,D,D,L,L,L,L,D,R,R,D,D
U,U,U,L,U,L,L,L,W,U,R,R,W,D,D,L
U,U,U,R,U,L,W,U,L,L,R,R,R,D,W,D
U,R,R,U,U,L,L,L,L,R,R,R,R,D,L,L
U,R,U,U,U,L,L,L,L,R,R,R,R,U,L,L
U,R,U,U,U,L,L,L,L,R,R,R,R,U,W,U
U,U,U,U,U,L,L,U,U,U,U,U,W,U,L,U
W,U,U,W,U,W,U,U,U,U,R,R,U,U,U,U
R,U,U,L,U,L,U,U,U,R,R,R,U,U,U,U
R,R,U,U,U,U,U,U,U,U,R,U,U,U,U,U
R,U,U,U,U,U,W,U,U,R,R,U,U,U,U,U
