R,R,R,R,R,R,U,W,D,L
U,W,R,R,R,U,U,L,L,W
U,L,W,W,U,U,W,U,L,U
U,W,D,L,W,U,L,U,U,U
U,L,D,W,W,U,U,U,U,U
U,D,R,R,R,U,W,U,R,R
D,D,W,U,W,U,L,L,U,W
R,D,L,U,R,U,U,U,U,L
U,U,W,U,R,U,U,W,U,L
U,U,L,L,U,U,W,R,U,U
