D,W,L,L,D,L,L,L,U,U,R,R,D,W,L,L
R,R,U,L,L,W,D,D,U,R,R,R,R,R,U,W
W,W,U,U,U,L,L,L,L,R,R,R,R,U,U,L
D,R,U,U,U,L,U,L,L,U,W,U,W,U,U,L
D,L,U,U,U,L,W,U,U,U,R,R,R,R,W,U
W,U,U,L,U,U,U,W,U,R,R,R,U,W,R,U
R,U,U,U,U,U,U,L,L,L,R,U,U,D,L,W
U,W,U,U,U,W,U,U,W,R,R,R,D,D,L,L
U,L,W,U,U,R,U,U,L,U,W,R,R,D,L,W
U,W,W,U,W,U,U,L,D,U,W,D,W,D,W,D
L,L,R,U,L,U,W,L,D,W,R,R,R,R,R,D
U,L,R,U,U,U,W,R,R,R,R,R,R,R,W,D
U,U,R,U,U,U,W,D,W,R,D,R,R,W,R,R
W,U,U,U,D,W,W,R,R,R,R,R,R,R,U,W
R,U,U,W,R,R,R,R,R,U,W,U,U,U,U,L
U,R,U,W,R,R,U,U,W,W,R,U,R,U,U,W
