W,D,D,R,R,R,R,U
R,D,D,D,R,D,W,U
W,D,D,R,R,D,W,W
L,L,L,R,R,D,R,D
D,L,W,W,R,D,W,D
D,W,R,R,W,D,L,D
R,R,R,U,L,L,L,D
U,W,U,U,U,L,L,D
