U,L,L,R,R,U,W,U
U,U,R,R,U,U,R,U
U,R,R,U,U,R,R,U
U,W,U,U,W,W,R,D
W,R,U,U,W,W,U,W
R,U,U,U,R,R,U,L
R,U,W,W,U,W,U,L
W,U,L,W,R,R,U,U
