R,D,R,R,R,D,R,D,D,W,R,R,D,L,L,D
R,R,R,R,R,D,R,D,R,R,W,R,D,W,R,D
D,W,W,U,U,W,R,R,D,D,L,W,D,L,W,D
L,L,D,U,W,R,R,R,R,L,L,L,L,L,U,L
U,D,R,R,R,R,U,U,W,W,U,L,L,L,U,U
W,L,W,R,R,U,U,U,U,L,U,U,U,U,L,U
R,U,R,R,U,W,R,U,W,U,U,U,U,U,U,U
U,U,U,U,U,R,U,U,R,U,L,L,U,W,U,U
U,U,U,U,U,R,U,U,R,U,L,L,L,L,D,L
U,U,U,R,U,U,U,U,U,U,U,U,D,W,D,L
U,W,R,U,U,U,W,U,U,W,U,R,R,D,L,L
R,U,D,D,D,U,L,W,U,L,R,R,R,D,W,U
R,R,R,D,D,L,L,R,U,R,D,D,R,D,D,W
R,R,R,R,D,L,D,W,R,R,R,R,R,D,D,L
R,D,W,R,D,L,D,L,R,R,R,R,R,R,L,L
W,R,R,R,D,L,L,L,R,R,R,R,R,U,U,L
