D,W,L,L,L,L,L,L,L,L,L,L,L,W,D,L
R,R,U,L,L,L,L,U,L,U,L,L,R,U,L,W
W,U,U,L,L,U,L,L,L,U,L,L,D,D,U,D
R,U,U,U,L,L,L,L,L,L,W,D,D,D,D,D
R,U,U,U,U,U,W,D,L,L,D,D,D,D,L,L
W,U,U,U,U,U,L,L,L,R,D,D,D,W,D,D
R,U,U,U,U,U,U,L,L,R,R,D,D,D,D,D
U,W,U,U,U,U,U,U,W,R,R,R,D,D,L,L
U,R,U,U,U,U,U,U,R,U,W,D,D,D,L,W
U,W,W,U,U,U,U,D,D,U,W,D,D,D,W,D
L,L,R,U,U,U,W,D,D,W,R,R,R,R,R,D
U,U,U,U,R,R,R,R,R,R,R,R,R,D,W,D
U,U,U,R,R,D,R,D,W,R,R,R,R,R,R,R
U,R,R,R,R,D,W,R,R,R,R,R,U,U,U,W
R,R,R,R,R,R,R,R,R,U,W,U,U,U,U,L
R,R,U,W,R,R,U,U,W,W,R,U,U,U,U,U
