D,D,W,R,D,W,L,L
R,R,R,W,D,U,U,W
W,U,W,U,W,U,U,W
W,W,R,R,W,U,R,R
L,L,R,U,W,U,U,W
W,D,R,U,W,R,U,W
R,R,W,U,L,L,U,L
U,W,L,L,W,U,U,L
