W,R,R,U,W,W,D,U
R,R,U,U,D,D,L,L
D,W,L,D,D,D,W,U
R,D,D,D,D,W,U,W
W,D,L,R,D,L,U,D
W,D,W,W,D,W,W,D
L,U,W,R,R,U,W,W
W,U,R,R,R,W,U,W
