R,R,R,W,D,L,D,U,D,D,W,D,L,W
D,D,R,R,L,W,D,W,D,D,L,D,W,D
R,D,W,D,D,R,D,R,D,D,D,W,L,L
R,D,D,R,D,W,D,W,D,L,L,W,U,D
R,R,D,R,R,R,R,D,L,L,L,L,D,D
R,R,D,L,U,W,W,D,W,U,D,W,R,D
D,W,L,D,L,L,W,L,L,W,D,L,D,R
R,R,R,D,W,W,L,L,L,L,L,L,L,L
U,W,R,R,R,D,W,U,L,L,L,L,U,D
W,D,W,U,W,D,L,L,L,L,L,L,D,D
R,R,D,W,U,W,U,L,L,W,D,D,D,L
D,R,R,D,W,U,U,U,U,L,L,L,D,L
D,R,R,R,R,U,W,U,U,U,L,L,L,W
D,R,U,W,W,U,L,U,R,U,U,L,L,L
