R,R,R,R,R,R,R,U,L,L,L,L
R,R,R,R,R,R,U,U,U,U,L,L
R,R,R,R,R,R,U,U,U,U,U,L
U,U,U,W,U,W,U,U,U,U,U,U
U,U,U,W,U,R,U,U,U,U,L,U
W,U,U,L,W,U,U,U,U,U,U,L
R,U,U,R,R,U,W,U,U,U,U,U
U,U,U,U,U,U,R,U,W,U,U,L
R,U,U,U,U,U,U,U,R,U,U,U
L,U,U,U,U,U,U,W,U,U,U,U
U,U,U,U,U,U,U,R,U,U,U,U
U,W,U,U,U,U,U,R,U,W,U,U
