D,D,W,D,D,D,R,R,R,R,R,R,R,R,R,U,U,L
R,R,D,L,L,D,D,D,D,R,U,W,R,R,U,U,U,U
R,R,U,D,L,D,D,D,D,D,R,U,U,U,U,U,U,U
U,R,R,R,W,D,D,R,D,D,D,U,U,U,U,W,U,U
R,R,R,R,R,R,D,D,D,D,D,L,D,U,U,W,U,U
R,R,D,W,D,D,D,D,D,D,D,L,D,D,D,D,W,U
R,R,R,R,D,D,D,D,D,L,D,L,D,D,D,L,D,U
R,R,R,R,D,D,D,D,D,L,W,R,D,L,D,L,D,U
U,W,D,W,D,D,D,D,D,W,D,D,D,W,D,W,D,L
W,R,R,R,R,D,D,D,L,D,D,D,D,D,D,L,L,L
R,U,R,R,R,D,D,L,D,D,D,D,D,D,D,L,W,U
R,R,D,R,R,R,D,L,D,D,D,D,D,D,L,W,D,W
W,R,D,D,D,W,L,D,D,D,D,D,D,D,W,D,D,L
W,W,R,R,R,R,R,R,R,D,D,L,D,D,L,L,L,L
R,R,R,R,R,R,D,D,R,D,D,W,R,D,D,L,L,W
R,D,R,R,R,R,R,R,R,R,R,R,W,D,D,W,D,L
U,W,W,U,W,U,W,U,R,R,R,U,L,L,L,L,L,L
W,U,W,R,R,R,R,R,R,R,R,U,U,U,U,L,L,L
