68.4027,69.3295,69.1369,68.4449,67.6546,66.7487,65.9416,0.0000,64.0259,64.1624,63.3946,62.6167
0.0000,70.4079,70.1354,69.3846,68.5865,0.0000,66.6501,65.8696,64.8804,65.1487,64.1606,63.2239
71.8217,71.3941,71.1439,70.3297,69.4158,68.5899,67.6523,66.7842,0.0000,64.7609,64.0075,63.2292
72.8452,72.3365,72.1758,71.2933,70.3444,69.4156,68.4926,67.5820,66.7676,65.7359,64.7972,63.9000
73.8917,73.2694,73.2404,72.2649,71.2925,70.3277,69.3720,68.4269,67.5015,65.6027,65.1276,64.3527
74.9655,74.1835,74.3466,73.2368,72.1679,71.1305,70.1183,69.1272,68.1555,67.0067,66.0505,65.1315
76.0730,75.0652,74.1664,73.2332,72.2869,71.3235,70.3544,69.3867,68.4252,66.4940,66.5010,65.6422
77.2226,75.9718,74.7923,73.6668,72.6421,71.5190,70.4487,69.4185,68.4199,67.3488,67.5120,66.4180
76.0715,75.0515,74.0418,73.0429,0.0000,70.4591,69.6014,68.7262,67.8415,66.9433,66.5468,65.6557
74.9504,74.0574,73.1977,72.3109,71.3367,70.3789,69.4284,68.4792,67.5431,66.6196,65.7589,64.9015
73.8686,73.1806,73.3745,72.2931,71.2544,70.2504,69.1690,68.0606,67.0843,66.1420,65.2323,64.3487
72.8181,72.2747,72.2896,71.4321,70.5643,69.6911,67.7504,66.1548,66.0960,65.3119,64.5228,63.7321
