U,W,R,R,D,W,W,R,R,D,W,W,R,R,U,R,L,D
W,W,R,R,R,U,W,W,W,D,R,D,W,U,U,W,W,D
U,W,W,D,L,L,L,R,D,L,W,D,W,D,D,R,U,W
R,R,W,D,W,U,W,W,D,W,L,L,W,W,D,U,L,L
D,W,W,W,R,U,W,R,R,R,L,R,R,W,W,W,U,W
W,D,W,D,W,W,U,W,R,R,W,W,U,U,W,W,W,W
L,L,D,R,U,U,W,L,U,R,L,L,U,U,L,W,D,D
L,L,D,L,U,U,W,W,W,W,U,L,L,L,L,L,D,D
U,W,D,W,R,R,D,D,L,R,U,W,U,W,W,W,D,L
W,R,R,U,W,W,D,D,W,W,D,R,W,U,U,L,L,W
W,W,U,W,U,R,R,D,W,W,D,L,L,W,U,L,L,R
D,D,U,L,U,W,W,W,W,U,W,W,U,U,W,W,R,R
D,L,W,W,W,R,R,W,W,U,W,W,W,U,U,R,R,U
U,R,R,U,U,W,D,D,W,U,L,L,D,W,W,R,D,U
U,U,W,U,U,L,L,L,L,U,W,W,D,D,L,W,D,W
D,L,D,W,U,U,L,L,L,U,R,R,R,D,D,W,R,R
D,W,D,W,W,U,W,U,L,L,U,W,W,D,R,R,W,U
U,U,W,R,R,U,L,L,U,L,L,W,U,D,W,W,U,W
