U,L,L,R,R,U,W,U
U,U,L,R,U,U,R,U
U,U,R,U,R,U,R,U
U,U,U,U,W,W,R,R
W,U,U,U,W,R,U,W
R,U,U,U,R,R,U,L
R,U,W,W,U,W,U,U
W,U,L,W,R,R,U,U
