94.4956,96.0550,98.5304,99.9990,0.0000,0.0000,98.4303,99.8694,99.9990,99.9990,98.3611,0.0000
92.0704,0.0000,97.2395,0.0000,97.4326,95.0609,97.3647,98.8194,99.9990,0.0000,95.6983,94.1633
0.0000,87.4830,0.0000,98.4652,97.1734,95.7904,95.0012,0.0000,0.0000,93.8035,93.1777,91.9000
87.4830,89.8502,0.0000,98.3103,96.9002,95.6373,96.5039,94.6172,94.9178,92.8516,91.1306,90.8363
0.0000,90.0180,0.0000,95.8158,95.6398,95.5458,96.8039,96.8011,96.4753,94.8503,93.3655,92.0096
88.0032,89.1775,0.0000,95.7212,94.5317,0.0000,0.0000,0.0000,95.0699,93.9351,93.6581,92.1351
0.0000,90.5134,92.9652,94.2111,93.3982,93.4568,92.1993,91.2720,92.4875,0.0000,91.0945,89.8883
0.0000,91.4792,92.8933,92.9045,92.3521,93.2644,91.9572,0.0000,91.2116,90.7227,89.8779,88.8839
0.0000,90.8782,92.0137,93.1287,93.0678,92.1225,91.0511,89.1531,90.0922,91.9759,90.6690,89.4110
-99.9990,0.0000,0.0000,94.5147,94.4166,93.2291,91.2760,91.1868,92.3743,93.5991,0.0000,0.0000
0.0000,98.8232,97.3998,96.9830,0.0000,94.5651,93.4581,93.4412,93.5991,96.1967,98.0471,98.2261
99.9990,98.7044,96.3557,95.8120,96.0840,95.9606,94.5651,93.3365,0.0000,94.2130,96.4173,95.8273
