D,R,R,R,D,D,D,L,L,L
D,R,D,D,D,D,L,L,L,L
D,R,R,R,D,L,L,L,D,D
D,D,D,W,D,L,L,D,D,L
R,R,R,D,D,W,D,D,D,L
W,W,W,D,D,L,D,D,D,W
D,D,D,D,L,L,L,L,L,L
R,D,D,D,L,L,L,L,U,L
R,R,D,L,L,L,L,L,L,L
R,R,D,L,W,U,L,L,U,U
