D,W,R,U,R,R,R,R,R,R,D,W,R,R,R,R,L,L
D,W,U,U,R,R,R,R,R,R,R,R,R,U,U,W,U,L
D,W,W,U,R,R,R,R,R,U,W,U,U,U,U,R,U,L
D,L,D,D,R,R,R,R,U,R,R,U,U,W,U,R,U,U
L,W,D,D,D,D,W,R,R,R,R,U,U,R,U,U,U,U
U,R,R,D,D,D,R,R,U,R,R,R,D,L,U,U,U,U
R,R,R,R,R,R,R,R,D,R,R,R,D,D,L,D,U,D
R,R,R,U,U,U,W,R,D,W,D,D,D,D,L,L,R,R
U,W,D,W,D,R,D,R,R,R,D,D,R,D,W,D,D,D
W,D,R,R,D,W,D,R,R,R,R,D,W,D,L,L,D,D
D,D,D,W,D,D,D,R,D,D,R,D,D,D,D,L,D,D
D,D,R,R,D,D,D,R,R,D,R,D,D,D,D,W,D,L
R,R,W,W,R,R,D,W,R,D,W,D,D,R,D,L,L,L
R,D,R,R,D,W,D,D,W,D,R,R,D,W,D,L,D,D
R,R,R,R,R,R,R,R,R,D,W,W,D,D,D,W,D,D
R,R,R,R,R,R,R,R,R,R,R,R,D,D,D,W,D,L
L,R,R,R,R,R,R,R,R,R,R,R,D,D,L,L,L,L
U,R,R,R,R,R,R,R,R,R,U,W,D,L,L,L,L,L
