U,L,L,L,U,L,L,L,L,R,R,R,U,R,R,R,R,R
U,U,L,L,U,W,U,L,L,R,R,R,U,R,R,R,R,U
U,U,U,U,U,W,D,L,D,R,R,R,D,D,D,D,D,L
D,L,L,D,D,D,D,L,D,W,R,R,R,D,D,D,D,L
D,L,L,D,D,L,D,W,R,D,L,U,W,D,R,D,D,W
D,L,L,D,D,W,D,W,W,D,D,L,W,D,W,D,D,D
D,W,R,D,D,D,D,L,R,D,D,W,R,R,R,R,D,D
D,D,W,D,D,D,L,L,R,R,R,R,R,R,R,R,D,D
D,D,D,L,L,D,D,W,W,R,R,R,R,D,R,R,R,D
D,D,D,W,R,D,D,W,D,R,R,R,R,R,R,R,R,D
R,R,R,R,W,D,D,W,D,L,R,R,U,W,R,R,R,D
R,R,R,U,L,L,L,L,L,W,R,D,R,R,R,R,R,R
R,R,R,U,W,U,L,L,L,W,W,R,R,R,R,R,R,U
R,R,U,U,W,U,U,L,L,R,R,D,R,U,R,R,R,U
U,U,U,U,W,U,U,U,L,D,W,R,R,R,R,R,U,U
U,U,U,U,L,L,L,L,R,R,R,U,U,W,D,U,U,U
U,R,R,U,L,L,L,L,L,R,U,U,U,L,W,W,U,U
U,R,U,U,L,U,L,L,L,R,U,W,U,R,R,R,U,U
